County,Registered Voters,# In Person On 10/30/2020,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting
COLLINGSWORTH,1942,88,758,0.3903,88,846,0.4356
HALL,1926,52,707,0.3671,99,806,0.4185
REAGAN,1879,46,861,0.4582,40,901,0.4795
COCHRAN,1771,63,529,0.2987,66,595,0.336
CONCHO,1757,53,641,0.3648,146,787,0.4479
SCHLEICHER,1709,73,798,0.4669,108,906,0.5301
CULBERSON,1709,56,508,0.2972,61,569,0.3329
JEFF DAVIS,1670,52,911,0.5455,127,1038,0.6216
SHERMAN,1520,85,624,0.4105,62,686,0.4513
EDWARDS,1499,52,688,0.459,81,769,0.513
ARMSTRONG,1498,88,766,0.5113,59,825,0.5507
MENARD,1469,51,672,0.4575,146,818,0.5568
OLDHAM,1425,46,571,0.4007,48,619,0.4344
DICKENS,1328,0,494,0.372,108,602,0.4533
IRION,1298,58,623,0.48,45,668,0.5146
THROCKMORTON,1216,55,512,0.4211,62,574,0.472
COTTLE,1041,0,345,0.3314,72,417,0.4006
BRISCOE,1025,40,354,0.3454,96,450,0.439
STONEWALL,953,38,483,0.5068,58,541,0.5677
STERLING,939,36,443,0.4718,34,477,0.508
FOARD,884,55,394,0.4457,19,413,0.4672
MOTLEY,859,72,385,0.4482,65,450,0.5239
GLASSCOCK,800,0,389,0.4863,44,433,0.5413
MCMULLEN,706,34,343,0.4858,13,356,0.5042
ROBERTS,680,0,272,0.4,43,315,0.4632
TERRELL,673,31,292,0.4339,76,368,0.5468
KENT,592,31,281,0.4747,34,315,0.5321
BORDEN,499,19,275,0.5511,28,303,0.6072
KENEDY,296,12,123,0.4155,13,136,0.4595
KING,183,9,96,0.5246,10,106,0.5792
LOVING,111,2,39,0.3514,6,45,0.4054
